rank,channel,total_clips,channel_type
732,BuzzFeedVideo,137,individual
733,Curtis Judd,136,individual
734,BMW,136,individual
735,Marques Brownlee,136,individual
736,Science Channel,135,company/brand
737,LooLoo Kids - Nursery Rhymes and Children's Songs,135,company/brand
738,Ozzy Man Reviews,135,company/brand
739,V8TV,134,company/brand
740,Devin Niemela,134,individual
741,Shane Lee,134,individual
742,Nat Geo Kids,134,company/brand
743,FROSTY Life,134,individual
744,TheLifeOfJord,134,individual
745,MotoringMiddleEast,133,individual
746,Talking Tom,133,individual
747,Victoria Raechel,133,individual
748,Alonzo Lerone,133,individual
749,8 News Now — Las Vegas,133,company/brand
750,ちゃんねる鰐,133,individual
751,TNT Sports Argentina,133,company/brand
752,South Main Auto LLC,132,company/brand
753,Steve Owens,132,individual
754,Microsoft,132,individual
755,joanday,132,individual
756,ExplosmEntertainment,132,individual
757,Manual do Mundo,132,individual
758,KPBS Public Media,132,company/brand
759,A Common Life,131,individual
760,Cartoon Network,131,company/brand
761,Annoying Orange,131,individual
762,UFC,131,company/brand
763,eHowFitness,131,individual
764,Miss Mina,130,individual
765,MarkAngelComedy,130,individual
766,BoatTEST.com,130,company/brand
767,Kendall Gray,130,individual
768,Autoline Network,130,company/brand
769,Oh Yum with Anna Olson,129,individual
770,Fraser Cain,129,individual
771,Stephen Sharer,129,individual
772,We're the Russos,129,individual
773,SUNUPTV,129,company/brand
774,Hollywood Life,129,individual
775,New China TV,129,company/brand
776,DroningON,128,individual
777,How To Make Everything,128,individual
778,Zennie62 You Live Oakland News Now NFL Draft Vegas,127,company/brand
779,JesssFam,127,individual
780,WasabiCars,126,individual
781,Factnomenal,126,individual
782,Backcountry Exposure,126,individual
783,McJuggerNuggets,126,individual
784,Sailing Uma,126,individual
785,GommeBlog.it: Tecnica e Performance,126,individual
786,U.S. Navy,126,individual
787,Dr. Phil,126,individual
788,Mighty Car Mods,125,individual
789,Geography Now,125,individual
790,randomfrankp,125,individual
791,Ruby Granger,125,individual
792,Blake's Garage,125,individual
793,WB Kids,125,company/brand
794,Nightly Business Report,125,company/brand
795,alanews,125,individual
796,The Hockey Guy,125,individual
797,CNN Business,125,company/brand
798,MonacoInfo,125,individual
799,Rajshri Food,124,company/brand
800,What If,124,individual
801,Lawful Masses with Leonard French,124,individual
802,Fearless & Far,124,individual
803,TechSource,124,company/brand
804,Emmerdale,124,individual
805,Animal Planet Latinoamérica,124,individual
806,FuseSchool - Global Education,123,company/brand
807,vagabrothers,123,individual
808,ABC13 Houston,123,company/brand
809,CupofTJ,123,individual
810,What The Flick?!,123,individual
811,The Real Daytime,123,individual
812,Crown Rick Auto,122,individual
813,SmarterEveryDay,122,individual
814,Real Stories,122,individual
815,Vsauce3,122,company/brand
816,nlovewithreborns2011,121,company/brand
817,AmericanMuscle Mustang,121,individual
818,Motorvision Deutschland,121,individual
819,Antena 3,121,individual
820,ISU Junior Grand Prix,120,individual
821,Shea Whitney,120,individual
822,JustDustin,120,individual
823,Carolyn's RV Life,120,individual
824,TampaTec,120,individual
825,Shaw TV Nanaimo,120,company/brand
826,Family Fun Pack,120,company/brand
827,Motorcycle.com,120,company/brand
828,Franco Escamilla,120,individual
829,Global Mountain Bike Network,119,company/brand
830,Our Wyoming Life,119,individual
831,Anonymous Official,119,company/brand
832,BKXC,119,company/brand
833,Taylor R,119,individual
834,Overly Sarcastic Productions,119,company/brand
835,MercBenzKing,119,individual
836,Comedy,119,company/brand
837,pankobunny,119,individual
838,DFBGuide,119,individual
839,Kreosan English,119,individual
840,Tangerine Travels,119,individual
841,RNZ,119,individual
842,JCVdude,119,individual
843,Paint Life TV,118,company/brand
844,TFLoffroad,118,individual
845,World According To Briggs,118,company/brand
846,Professor Dave Explains,118,individual
847,Adelaines Camera Roll,118,individual
848,Chris Cowlin: Spurs Chat Podcast & Tottenham News,118,company/brand
849,David Ostrowski,118,individual
850,WHAT'S INSIDE? FAMILY,118,company/brand
851,GOAL,118,company/brand
852,Washington Post,118,individual
853,Теремок ТВ,118,individual
854,Mediotiempo,118,individual
